year_to,samp_size,series,mean,q025,q975
1880,15,ni,3.85520759876479,0.957551606650416,6.7152093789241
1880,15,lukemod,1.07284420334415,0.578669611600572,1.56993558741053
1880,15,lukestrong,1.00427576997568,0.84762049953369,1.16960076882135
1880,15,denmod,0.0737091807796813,-0.420071301332591,0.564304353892683
1880,15,denstrong,0.0045735042749723,-0.122864373322897,0.133416166232731
1881,16,ni,4.07839002607837,0.798404400495252,7.46212922282847
1881,16,lukemod,1.05958181392583,0.563549048297703,1.56312657110198
1881,16,lukestrong,1.00387787369394,0.847263539846424,1.16955826282375
1881,16,denmod,0.0672261162955345,-0.426212712085657,0.556501434685896
1881,16,denstrong,0.00446033209267101,-0.124605725765328,0.131977971101136
1882,17,ni,4.09004710485397,1.45612537549587,6.8007650197463
1882,17,lukemod,1.08525739459785,0.584093009918391,1.5967196390908
1882,17,lukestrong,1.00549104727817,0.849687090171256,1.17049519363837
1882,17,denmod,0.0910309785772212,-0.397209235578808,0.577529119261163
1882,17,denstrong,0.00612163780170787,-0.120649416601311,0.13430493762363
1883,18,ni,3.29475844744784,0.171280557694917,6.43665352786277
1883,18,lukemod,1.06155398040187,0.562932817520199,1.56921222669236
1883,18,lukestrong,1.00373174393138,0.846019360586601,1.16977124042712
1883,18,denmod,0.0699999090413354,-0.41951805804572,0.560105370308136
1883,18,denstrong,0.00517532965115171,-0.123362593558799,0.132733387753704
1884,19,ni,3.44788171903115,0.430073549388771,6.49888682370784
1884,19,lukemod,1.05750822720859,0.572039629544527,1.56247049866087
1884,19,lukestrong,1.00424915725052,0.846748323604289,1.16845634444944
1884,19,denmod,0.0734999332889875,-0.41552348466864,0.56055325707358
1884,19,denstrong,0.00539834051210885,-0.122343581884394,0.132715395366844
1885,20,ni,3.4373865422972,0.436126538704038,6.49238487955884
1885,20,lukemod,1.06370184869157,0.577212966085936,1.56617988708639
1885,20,lukestrong,1.00274516656449,0.848757804701281,1.16780240827092
1885,20,denmod,0.0781912428407567,-0.415717140492859,0.565194259704463
